id,dataset,scene_name,question_type,question,ground_truth,options
124,arkitscenes,47332886,object_counting,How many tv(s) are in this room?,2,
125,arkitscenes,47332901,object_counting,How many table(s) are in this room?,2,
126,arkitscenes,47332918,object_counting,How many table(s) are in this room?,2,
127,arkitscenes,47332918,object_counting,How many chair(s) are in this room?,3,
128,arkitscenes,47333457,object_counting,How many chair(s) are in this room?,5,
129,arkitscenes,47333457,object_counting,How many table(s) are in this room?,3,
130,arkitscenes,47333899,object_counting,How many chair(s) are in this room?,2,
131,arkitscenes,47333918,object_counting,How many table(s) are in this room?,2,
132,arkitscenes,47333932,object_counting,How many chair(s) are in this room?,3,
133,arkitscenes,47333940,object_counting,How many sofa(s) are in this room?,3,
134,arkitscenes,47333940,object_counting,How many table(s) are in this room?,4,
135,arkitscenes,47333940,object_counting,How many chair(s) are in this room?,2,
136,arkitscenes,47334096,object_counting,How many table(s) are in this room?,2,
137,arkitscenes,47334096,object_counting,How many chair(s) are in this room?,5,
138,arkitscenes,47334103,object_counting,How many chair(s) are in this room?,5,
139,arkitscenes,47334238,object_counting,How many table(s) are in this room?,2,
140,arkitscenes,47334238,object_counting,How many chair(s) are in this room?,6,
141,arkitscenes,47334238,object_counting,How many sofa(s) are in this room?,2,
142,arkitscenes,47334254,object_counting,How many table(s) are in this room?,2,
143,arkitscenes,47334254,object_counting,How many chair(s) are in this room?,3,
144,arkitscenes,47334362,object_counting,How many sofa(s) are in this room?,3,
145,arkitscenes,47334380,object_counting,How many chair(s) are in this room?,2,
146,arkitscenes,47429904,object_counting,How many sofa(s) are in this room?,2,
147,arkitscenes,47429904,object_counting,How many table(s) are in this room?,2,
148,arkitscenes,47429904,object_counting,How many stool(s) are in this room?,2,
149,arkitscenes,47429904,object_counting,How many chair(s) are in this room?,7,
150,arkitscenes,47429922,object_counting,How many table(s) are in this room?,2,
151,arkitscenes,47429922,object_counting,How many stool(s) are in this room?,2,
152,arkitscenes,47429977,object_counting,How many sofa(s) are in this room?,2,
153,arkitscenes,47429977,object_counting,How many table(s) are in this room?,2,
154,arkitscenes,47429977,object_counting,How many stool(s) are in this room?,2,
155,arkitscenes,47429977,object_counting,How many chair(s) are in this room?,3,
156,arkitscenes,47429992,object_counting,How many chair(s) are in this room?,2,
157,arkitscenes,47430023,object_counting,How many sofa(s) are in this room?,2,
158,arkitscenes,47430023,object_counting,How many chair(s) are in this room?,6,
159,arkitscenes,47430023,object_counting,How many tv(s) are in this room?,2,
160,arkitscenes,47430034,object_counting,How many table(s) are in this room?,3,
161,arkitscenes,47430034,object_counting,How many chair(s) are in this room?,3,
162,arkitscenes,47430034,object_counting,How many sofa(s) are in this room?,2,
163,arkitscenes,47430038,object_counting,How many chair(s) are in this room?,4,
164,arkitscenes,47430468,object_counting,How many sofa(s) are in this room?,3,
165,arkitscenes,47430468,object_counting,How many table(s) are in this room?,2,
166,arkitscenes,47430468,object_counting,How many chair(s) are in this room?,4,
