id,dataset,scene_name,question_type,question,ground_truth,options
612,arkitscenes,45261637,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.7,
613,arkitscenes,45662924,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",40.2,
614,arkitscenes,45662943,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",41.1,
615,arkitscenes,45662970,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.4,
616,arkitscenes,45662987,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",36.2,
617,arkitscenes,45663105,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",26.1,
618,arkitscenes,45663114,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.0,
619,arkitscenes,45663154,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",33.5,
620,arkitscenes,45663164,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",22.4,
621,arkitscenes,47115460,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",24.1,
622,arkitscenes,47115469,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",15.3,
623,arkitscenes,47115525,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",22.6,
624,arkitscenes,47115543,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",22.4,
625,arkitscenes,47204552,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",35.1,
626,arkitscenes,47204566,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",9.4,
627,arkitscenes,47204578,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",22.1,
628,arkitscenes,47204607,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",30.6,
629,arkitscenes,47331063,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.0,
630,arkitscenes,47331068,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",5.8,
631,arkitscenes,47331262,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",30.8,
632,arkitscenes,47331316,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",18.4,
633,arkitscenes,47331319,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",18.3,
634,arkitscenes,47331331,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",29.0,
635,arkitscenes,47331336,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",7.2,
636,arkitscenes,47331644,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",23.4,
637,arkitscenes,47331654,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",14.3,
638,arkitscenes,47331668,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.4,
639,arkitscenes,47331970,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",47.8,
640,arkitscenes,47331972,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",51.8,
641,arkitscenes,47331990,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",22.3,
642,arkitscenes,47332005,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",15.6,
643,arkitscenes,47332886,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",21.5,
644,arkitscenes,47332899,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",15.8,
645,arkitscenes,47332901,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",11.2,
646,arkitscenes,47332908,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.4,
647,arkitscenes,47332918,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",16.0,
648,arkitscenes,47333436,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.8,
649,arkitscenes,47333441,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",12.3,
650,arkitscenes,47333457,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",20.8,
651,arkitscenes,47333899,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",9.8,
652,arkitscenes,47333918,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",14.2,
653,arkitscenes,47333924,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",5.4,
654,arkitscenes,47333932,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",17.7,
655,arkitscenes,47333940,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",24.3,
656,arkitscenes,47334096,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",39.3,
657,arkitscenes,47334103,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",40.9,
658,arkitscenes,47334107,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",17.3,
659,arkitscenes,47334117,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",24.3,
660,arkitscenes,47334238,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",27.1,
661,arkitscenes,47334239,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",12.1,
662,arkitscenes,47334254,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.1,
663,arkitscenes,47334362,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",25.0,
664,arkitscenes,47334372,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",7.8,
665,arkitscenes,47334380,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.8,
666,arkitscenes,47429904,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",36.9,
667,arkitscenes,47429912,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",8.4,
668,arkitscenes,47429922,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",15.2,
669,arkitscenes,47429977,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",19.3,
670,arkitscenes,47429992,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",16.3,
671,arkitscenes,47429998,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",9.2,
672,arkitscenes,47430007,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.5,
673,arkitscenes,47430023,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",26.4,
674,arkitscenes,47430034,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",25.6,
675,arkitscenes,47430038,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",15.5,
676,arkitscenes,47430048,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",8.7,
677,arkitscenes,47430422,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",12.3,
678,arkitscenes,47430468,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",38.0,
679,arkitscenes,47430475,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",15.5,
